#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein name
chr,NC_004631.1,190,255,+,-,-,T_RS00005,WP_001575544.1,21,MULTISPECIES: thr operon leader peptide
chr,NC_004631.1,337,2799,+,-,-,T_RS00010,WP_001264731.1,820,bifunctional aspartate kinase/homoserine dehydrogenase I
chr,NC_004631.1,2801,3730,+,-,-,T_RS00015,WP_000241685.1,309,homoserine kinase
chr,NC_004631.1,3734,5020,+,-,-,T_RS00020,WP_000781103.1,428,threonine synthase
chr,NC_004631.1,5114,5887,-,-,-,T_RS00025,WP_000906171.1,257,peroxide stress protein YaaA
chr,NC_004631.1,5966,7396,-,-,-,T_RS00030,WP_001113816.1,476,sodium:alanine symporter family protein
chr,NC_004631.1,7665,8618,+,-,-,T_RS00035,WP_000130175.1,317,transaldolase
chr,NC_004631.1,8729,9319,+,-,-,T_RS00040,WP_001094677.1,196,molybdopterin adenylyltransferase
chr,NC_004631.1,9376,9942,-,-,-,T_RS00045,WP_000528527.1,188,acetate uptake transporter
chr,NC_004631.1,10092,10805,-,-,-,T_RS00050,WP_001103477.1,237,acidic protein MsyB
chr,NC_004631.1,10841,11245,-,-,-,T_RS00055,WP_001258093.1,134,DUF2541 family protein
chr,NC_004631.1,11594,13510,+,-,-,T_RS00060,WP_000516126.1,638,MULTISPECIES: molecular chaperone DnaK
chr,NC_004631.1,13596,14735,+,-,-,T_RS00065,WP_001119009.1,379,molecular chaperone DnaJ
chr,NC_004631.1,15020,15967,+,-,-,T_RS00070,WP_000534904.1,315,LysR family transcriptional regulator
chr,NC_004631.1,16094,16438,+,-,-,T_RS00075,WP_000026890.1,114,hypothetical protein
chr,NC_004631.1,16499,17032,-,-,-,T_RS00080,WP_001068133.1,177,hypothetical protein
chr,NC_004631.1,17049,17492,-,-,-,T_RS00085,WP_000860681.1,147,transcriptional regulator
chr,NC_004631.1,17873,19972,+,-,-,T_RS00090,WP_000235792.1,699,chitinase
chr,NC_004631.1,23341,24045,+,-,-,T_RS00100,WP_000738610.1,234,Crp/Fnr family transcriptional regulator
chr,NC_004631.1,24473,25015,+,-,-,T_RS00105,WP_000743355.1,180,fimbrial protein BcfA
chr,NC_004631.1,25116,25802,+,-,-,T_RS00110,WP_000742560.1,228,fimbrial chaperone protein BcfB
chr,NC_004631.1,25807,26727,+,-,-,T_RS25240,WP_001245847.1,306,usher protein FimD
chr,NC_004631.1,26728,27759,+,-,-,T_RS25245,WP_000155527.1,343,hypothetical protein
chr,NC_004631.1,27778,28428,+,-,-,T_RS25250,WP_072074973.1,216,hypothetical protein
chr,NC_004631.1,28429,29436,+,-,-,T_RS00120,WP_000701253.1,335,fimbrial adhesin FimH
chr,NC_004631.1,29437,29982,+,-,-,T_RS00125,WP_001082042.1,181,fimbrial protein BcfE
chr,NC_004631.1,29998,30516,+,-,-,T_RS00130,WP_001243237.1,172,fimbrial protein BcfF
chr,NC_004631.1,30482,31213,+,-,-,T_RS00135,WP_001135023.1,243,pili/flagellar-assembly chaperone
chr,NC_004631.1,31278,32123,+,-,-,T_RS00140,WP_000291399.1,281,DsbA family protein
chr,NC_004631.1,32162,32449,+,-,-,T_RS00145,WP_000839835.1,95,hypothetical protein
chr,NC_004631.1,32549,32998,-,-,-,T_RS00150,WP_001250363.1,149,transcriptional regulator
chr,NC_004631.1,33368,34363,+,-,-,T_RS00155,WP_001247397.1,331,LysR family transcriptional regulator
chr,NC_004631.1,35339,37057,+,-,-,T_RS00165,WP_001035853.1,572,sulfatase
chr,NC_004631.1,37103,38674,-,-,-,T_RS00170,WP_000262866.1,523,bifunctional metallophosphatase/5\'-nucleotidase
chr,NC_004631.1,38773,39534,-,-,-,T_RS00175,WP_000791535.1,253,hypothetical protein
chr,NC_004631.1,40128,41621,+,-,-,T_RS00180,WP_000831876.1,497,DUF229 domain-containing protein
chr,NC_004631.1,41720,42910,+,-,-,T_RS00185,WP_000971151.1,396,anaerobic sulfatase maturase
chr,NC_004631.1,43198,44181,+,-,-,T_RS00190,WP_001766152.1,327,hypothetical protein
chr,NC_004631.1,44308,46023,+,-,-,T_RS00195,WP_001094796.1,571,sulfatase
chr,NC_004631.1,46186,47352,+,-,-,T_RS00200,WP_000681337.1,388,Na+/H+ antiporter NhaA
chr,NC_004631.1,47414,48313,+,-,-,T_RS00205,WP_000062872.1,299,transcriptional activator NhaR
chr,NC_004631.1,48368,50407,-,-,-,T_RS00210,WP_001116444.1,679,glycoside hydrolase family 31 protein
chr,NC_004631.1,50447,51820,-,-,-,T_RS00215,WP_010989104.1,457,MFS transporter
chr,NC_004631.1,52277,52540,-,-,-,T_RS00220,WP_001518655.1,87,MULTISPECIES: 30S ribosomal protein S20
chr,NC_004631.1,52646,52861,+,-,-,T_RS00225,WP_001575565.1,71,DUF2575 domain-containing protein
chr,NC_004631.1,52869,53807,+,-,-,T_RS00230,WP_000767311.1,312,bifunctional riboflavin kinase/FAD synthetase
chr,NC_004631.1,53852,56686,+,-,-,T_RS00235,WP_010989105.1,944,isoleucine--tRNA ligase
chr,NC_004631.1,56686,57186,+,-,-,T_RS00240,WP_000042743.1,166,lipoprotein signal peptidase
