#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein name
chr,NC_011294.1,101,2563,+,-,-,SEN_RS00010,WP_001264677.1,820,bifunctional aspartate kinase/homoserine dehydrogenase I
chr,NC_011294.1,2565,3494,+,-,-,SEN_RS00015,WP_000241685.1,309,homoserine kinase
chr,NC_011294.1,3498,4784,+,-,-,SEN_RS00020,WP_000781109.1,428,threonine synthase
chr,NC_011294.1,4878,5651,-,-,-,SEN_RS00025,WP_000906175.1,257,peroxide stress protein YaaA
chr,NC_011294.1,5730,7160,-,-,-,SEN_RS00030,WP_001113812.1,476,sodium:alanine symporter family protein
chr,NC_011294.1,7429,8382,+,-,-,SEN_RS00035,WP_000130175.1,317,transaldolase
chr,NC_011294.1,8493,9083,+,-,-,SEN_RS00040,WP_000380373.1,196,molybdopterin adenylyltransferase
chr,NC_011294.1,9140,9706,-,-,-,SEN_RS00045,WP_000528525.1,188,acetate uptake transporter
chr,NC_011294.1,9856,10569,-,-,-,SEN_RS00050,WP_001103477.1,237,acidic protein MsyB
chr,NC_011294.1,10605,11009,-,-,-,SEN_RS00055,WP_001258084.1,134,DUF2541 family protein
chr,NC_011294.1,11358,13274,+,-,-,SEN_RS00060,WP_000516128.1,638,molecular chaperone DnaK
chr,NC_011294.1,13360,14499,+,-,-,SEN_RS00065,WP_001119009.1,379,molecular chaperone DnaJ
chr,NC_011294.1,14780,15727,+,-,-,SEN_RS00070,WP_000534911.1,315,LysR family transcriptional regulator
chr,NC_011294.1,15854,16198,+,-,-,SEN_RS00075,WP_000026889.1,114,hypothetical protein
chr,NC_011294.1,16259,16792,-,-,-,SEN_RS00080,WP_001068132.1,177,hypothetical protein
chr,NC_011294.1,16809,17252,-,-,-,SEN_RS00085,WP_000860681.1,147,transcriptional regulator
chr,NC_011294.1,17633,19732,+,-,-,SEN_RS00090,WP_000235795.1,699,chitinase
chr,NC_011294.1,19824,22820,+,-,-,SEN_RS00095,WP_000155796.1,998,hypothetical protein
chr,NC_011294.1,23101,23805,+,-,-,SEN_RS00100,WP_000738617.1,234,MULTISPECIES: Crp/Fnr family transcriptional regulator
chr,NC_011294.1,24235,24777,+,-,-,SEN_RS00105,WP_000743357.1,180,fimbrial protein BcfA
chr,NC_011294.1,24878,25564,+,-,-,SEN_RS00110,WP_000742558.1,228,fimbrial chaperone protein BcfB
chr,NC_011294.1,25569,28190,+,-,-,SEN_RS00115,WP_001245855.1,873,fimbrial biogenesis outer membrane usher protein
chr,NC_011294.1,28191,29198,+,-,-,SEN_RS00120,WP_000701246.1,335,fimbrial adhesin FimH
chr,NC_011294.1,29199,29744,+,-,-,SEN_RS00125,WP_001082038.1,181,fimbrial protein BcfE
chr,NC_011294.1,29760,30278,+,-,-,SEN_RS00130,WP_001243232.1,172,fimbrial protein BcfF
chr,NC_011294.1,30244,30975,+,-,-,SEN_RS00135,WP_001135028.1,243,pili/flagellar-assembly chaperone
chr,NC_011294.1,31039,31884,+,-,-,SEN_RS00140,WP_000291392.1,281,DsbA family protein
chr,NC_011294.1,31923,32210,+,-,-,SEN_RS00145,WP_000839833.1,95,hypothetical protein
chr,NC_011294.1,32310,32759,-,-,-,SEN_RS00150,WP_001250363.1,149,transcriptional regulator
chr,NC_011294.1,33121,34125,+,-,-,SEN_RS00155,WP_001247392.1,334,LysR family transcriptional regulator
chr,NC_011294.1,34133,34573,-,-,-,SEN_RS00160,WP_000158346.1,146,transcriptional regulator
chr,NC_011294.1,35096,36814,+,-,-,SEN_RS00165,WP_001036511.1,572,arylsulfatase
chr,NC_011294.1,36860,38431,-,-,-,SEN_RS00170,WP_000262867.1,523,bifunctional metallophosphatase/5\'-nucleotidase
chr,NC_011294.1,38530,39291,-,-,-,SEN_RS00175,WP_000791534.1,253,hypothetical protein
chr,NC_011294.1,39885,41378,+,-,-,SEN_RS00180,WP_000831880.1,497,DUF229 domain-containing protein
chr,NC_011294.1,41477,42667,+,-,-,SEN_RS00185,WP_000971148.1,396,anaerobic sulfatase maturase
chr,NC_011294.1,42686,43939,+,-,-,SEN_RS00190,WP_001055836.1,417,hypothetical protein
chr,NC_011294.1,44066,45781,+,-,-,SEN_RS00195,WP_001094889.1,571,arylsulfatase
chr,NC_011294.1,45944,47110,+,-,-,SEN_RS00200,WP_000681340.1,388,Na+/H+ antiporter NhaA
chr,NC_011294.1,47172,48071,+,-,-,SEN_RS00205,WP_000062872.1,299,transcriptional activator NhaR
chr,NC_011294.1,48126,50165,-,-,-,SEN_RS00210,WP_001116453.1,679,glycoside hydrolase family 31 protein
chr,NC_011294.1,50205,51578,-,-,-,SEN_RS00215,WP_000099989.1,457,MFS transporter
chr,NC_011294.1,52034,52297,-,-,-,SEN_RS00220,WP_001518655.1,87,MULTISPECIES: 30S ribosomal protein S20
chr,NC_011294.1,52403,52618,+,-,-,SEN_RS00225,WP_001575565.1,71,DUF2575 domain-containing protein
chr,NC_011294.1,52626,53564,+,-,-,SEN_RS00230,WP_000767311.1,312,bifunctional riboflavin kinase/FAD synthetase
chr,NC_011294.1,53609,56443,+,-,-,SEN_RS00235,WP_001674865.1,944,isoleucine--tRNA ligase
chr,NC_011294.1,56443,56943,+,-,-,SEN_RS00240,WP_000042739.1,166,lipoprotein signal peptidase
chr,NC_011294.1,57098,57547,+,-,-,SEN_RS00245,WP_000047269.1,149,FKBP-type peptidyl-prolyl cis-trans isomerase
chr,NC_011294.1,57550,58500,+,-,-,SEN_RS00250,WP_001166428.1,316,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
chr,NC_011294.1,58700,59695,+,-,-,SEN_RS00255,WP_001676426.1,331,hypothetical protein
chr,NC_011294.1,59706,59903,+,-,-,SEN_RS00260,WP_000613591.1,65,hypothetical protein
chr,NC_011294.1,59919,60839,+,-,-,SEN_RS00265,WP_000127276.1,306,non-specific ribonucleoside hydrolase RihC
chr,NC_011294.1,60861,61547,-,-,dpiA,SEN_RS00270,WP_000377406.1,228,response regulator
chr,NC_011294.1,61549,63168,-,-,-,SEN_RS00275,WP_001677995.1,539,sensor histidine kinase
chr,NC_011294.1,63303,64604,-,-,-,SEN_RS00280,WP_000444879.1,433,oxalacetate decarboxylase subunit beta
chr,NC_011294.1,64617,66386,-,-,-,SEN_RS00285,WP_000150408.1,589,oxaloacetate decarboxylase subunit alpha
chr,NC_011294.1,66403,66642,-,-,-,SEN_RS00290,WP_001001154.1,79,oxaloacetate decarboxylase subunit gamma
chr,NC_011294.1,66801,68141,-,-,-,SEN_RS00295,WP_000183602.1,446,citrate:sodium symporter
chr,NC_011294.1,68386,69429,+,-,-,SEN_RS00300,WP_001181446.1,347,[citrate (pro-3S)-lyase] ligase [Salmonella enterica]
chr,NC_011294.1,69459,69752,+,-,-,SEN_RS00305,WP_000691461.1,97,citrate lyase ACP
chr,NC_011294.1,69749,70618,+,-,-,SEN_RS00310,WP_001247804.1,289,citrate (pro-3S)-lyase subunit beta
chr,NC_011294.1,70629,72149,+,-,-,SEN_RS00315,WP_000665573.1,506,citrate lyase subunit alpha
chr,NC_011294.1,72149,72700,+,-,-,SEN_RS00320,WP_000679050.1,183,citrate lyase holo
chr,NC_011294.1,72678,73586,+,-,-,SEN_RS00325,WP_001103238.1,302,triphosphoribosyl-dephospho-CoA synthase
chr,NC_011294.1,73766,74587,+,-,-,SEN_RS00330,WP_000544036.1,273,4-hydroxy-tetrahydrodipicolinate reductase
chr,NC_011294.1,75449,76597,+,-,-,SEN_RS00335,WP_000597280.1,382,carbamoyl-phosphate synthase small subunit
chr,NC_011294.1,76616,79843,+,-,carB,SEN_RS00340,WP_001126310.1,1075,carbamoyl-phosphate synthase large chain
chr,NC_011294.1,80117,80512,+,-,-,SEN_RS00345,WP_000333324.1,131,carnitine metabolism transcriptional regulator CaiF
chr,NC_011294.1,80590,81186,-,-,-,SEN_RS00350,WP_000122863.1,198,MULTISPECIES: carnitine operon protein CaiE
chr,NC_011294.1,81296,82081,-,-,-,SEN_RS00355,WP_000004387.1,261,carnitinyl-CoA dehydratase
chr,NC_011294.1,82135,83688,-,-,-,SEN_RS00360,WP_000355818.1,517,ATP-dependent acyl-CoA ligase
chr,NC_011294.1,83751,84968,-,-,-,SEN_RS00365,WP_001016213.1,405,L-carnitine CoA-transferase
chr,NC_011294.1,85080,86222,-,-,-,SEN_RS00370,WP_000347134.1,380,MULTISPECIES: crotonobetainyl-CoA dehydrogenase
chr,NC_011294.1,86257,87774,-,-,-,SEN_RS00375,WP_000787073.1,505,L-carnitine/gamma-butyrobetaine antiporter
chr,NC_011294.1,88002,88187,+,-,-,SEN_RS00380,WP_000264222.1,61,hypothetical protein
chr,NC_011294.1,88255,89025,+,-,-,SEN_RS00385,WP_000692192.1,256,putative electron transfer flavoprotein FixA
chr,NC_011294.1,89041,89982,+,-,-,SEN_RS00390,WP_001032200.1,313,electron transfer flavoprotein subunit alpha/FixB family protein
chr,NC_011294.1,90032,91318,+,-,-,SEN_RS00395,WP_001287768.1,428,FAD-dependent oxidoreductase
chr,NC_011294.1,91315,91602,+,-,-,SEN_RS00400,WP_000203736.1,95,MULTISPECIES: ferredoxin-like protein FixX
chr,NC_011294.1,91749,93089,+,-,-,SEN_RS00405,WP_001674927.1,446,MFS transporter
chr,NC_011294.1,93178,93408,+,-,-,SEN_RS00410,WP_001172089.1,76,MULTISPECIES: YgdI/YgdR family lipoprotein
chr,NC_011294.1,93694,94116,+,-,-,SEN_RS00415,WP_000769439.1,140,hypothetical protein
chr,NC_011294.1,94340,94630,-,-,-,SEN_RS00420,WP_000745961.1,96,DUF1471 domain-containing protein
chr,NC_011294.1,94840,95034,+,-,-,SEN_RS00425,WP_001538932.1,64,hypothetical protein
chr,NC_011294.1,95528,97417,+,-,-,SEN_RS00430,WP_000066320.1,629,phosphatase
chr,NC_011294.1,97501,97683,-,-,-,SEN_RS00435,WP_001139405.1,60,hypothetical protein
chr,NC_011294.1,97595,97876,+,-,-,SEN_RS22795,WP_016698565.1,93,hypothetical protein
chr,NC_011294.1,97824,98354,+,-,-,SEN_RS00440,WP_000600698.1,176,glutathione-regulated potassium-efflux system ancillary protein KefF
chr,NC_011294.1,98347,100209,+,-,-,SEN_RS00445,WP_000377163.1,620,glutathione-regulated potassium-efflux system protein KefC
chr,NC_011294.1,100408,100887,+,-,folA,SEN_RS00450,WP_000624379.1,159,type 3 dihydrofolate reductase
chr,NC_011294.1,100993,101841,-,-,-,SEN_RS00455,WP_000257211.1,282,bis(5\'-nucleosyl)-tetraphosphatase (symmetrical)
chr,NC_011294.1,101852,102229,-,-,-,SEN_RS00460,WP_000610894.1,125,MULTISPECIES: Co2+/Mg2+ efflux protein ApaG
chr,NC_011294.1,102232,103053,-,-,ksgA,SEN_RS00465,WP_001065397.1,273,ribosomal RNA small subunit methyltransferase A
chr,NC_011294.1,103050,104039,-,-,-,SEN_RS00470,WP_000093001.1,329,4-hydroxythreonine-4-phosphate dehydrogenase 1
chr,NC_011294.1,104039,105325,-,-,-,SEN_RS00475,WP_000800482.1,428,chaperone SurA
chr,NC_011294.1,105379,107739,-,-,-,SEN_RS00480,WP_000746116.1,786,LPS assembly protein LptD
chr,NC_011294.1,107993,108805,+,-,-,SEN_RS00485,WP_001200595.1,270,MULTISPECIES: molecular chaperone DjlA
chr,NC_011294.1,108900,109559,-,-,-,SEN_RS00490,WP_000525197.1,219,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA
