# feature,class,assembly,assembly_unit,seq_type,chromosome,genomic_accession,start,end,strand,product_accession,non-redundant_refseq,related_accession,name,symbol,GeneID,locus_tag,feature_interval_length,product_length,attributes
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,190,255,+,,,,,thrL,,SL1344_RS00005,66,,
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,190,255,+,WP_001575544.1,WP_001575544.1,,thr operon leader peptide,thrL,,SL1344_RS00005,66,21,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,337,2799,+,,,,,,,SL1344_RS00010,2463,,old_locus_tag=SL1344_0002
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,337,2799,+,WP_001264681.1,WP_001264681.1,,bifunctional aspartate kinase/homoserine dehydrogenase I,,,SL1344_RS00010,2463,820,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,2801,3730,+,,,,,,,SL1344_RS00015,930,,old_locus_tag=SL1344_0003
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,2801,3730,+,WP_000241685.1,WP_000241685.1,,homoserine kinase,,,SL1344_RS00015,930,309,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,3734,5020,+,,,,,,,SL1344_RS00020,1287,,old_locus_tag=SL1344_0004
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,3734,5020,+,WP_000781105.1,WP_000781105.1,,threonine synthase,,,SL1344_RS00020,1287,428,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,5114,5887,-,,,,,,,SL1344_RS00025,774,,old_locus_tag=SL1344_0005
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,5114,5887,-,WP_000906175.1,WP_000906175.1,,peroxide stress protein YaaA,,,SL1344_RS00025,774,257,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,5966,7396,-,,,,,,,SL1344_RS00030,1431,,old_locus_tag=SL1344_0006
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,5966,7396,-,WP_001113820.1,WP_001113820.1,,sodium:alanine symporter family protein,,,SL1344_RS00030,1431,476,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,7665,8618,+,,,,,tal,,SL1344_RS00035,954,,old_locus_tag=SL1344_0007
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,7665,8618,+,WP_000130175.1,WP_000130175.1,,transaldolase,tal,,SL1344_RS00035,954,317,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,8729,9319,+,,,,,,,SL1344_RS00040,591,,old_locus_tag=SL1344_0008
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,8729,9319,+,WP_000380372.1,WP_000380372.1,,molybdopterin adenylyltransferase,,,SL1344_RS00040,591,196,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,9376,9942,-,,,,,,,SL1344_RS00045,567,,old_locus_tag=SL1344_0009
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,9376,9942,-,WP_000528527.1,WP_000528527.1,,hypothetical protein,,,SL1344_RS00045,567,188,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,10092,10805,-,,,,,,,SL1344_RS00050,714,,old_locus_tag=SL1344_0010
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,10092,10805,-,WP_001103477.1,WP_001103477.1,,hypothetical protein,,,SL1344_RS00050,714,237,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,10841,11245,-,,,,,,,SL1344_RS00055,405,,old_locus_tag=SL1344_0011
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,10841,11245,-,WP_001258094.1,WP_001258094.1,,hypothetical protein,,,SL1344_RS00055,405,134,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,11593,13509,+,,,,,,,SL1344_RS00060,1917,,old_locus_tag=SL1344_0012
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,11593,13509,+,WP_000516125.1,WP_000516125.1,,molecular chaperone DnaK,,,SL1344_RS00060,1917,638,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,13595,14734,+,,,,,dnaJ,,SL1344_RS00065,1140,,old_locus_tag=SL1344_0013
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,13595,14734,+,WP_001119009.1,WP_001119009.1,,molecular chaperone DnaJ,dnaJ,,SL1344_RS00065,1140,379,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,15014,15961,+,,,,,,,SL1344_RS00070,948,,old_locus_tag=SL1344_0014
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,15014,15961,+,WP_000534902.1,WP_000534902.1,,LysR family transcriptional regulator,,,SL1344_RS00070,948,315,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,16088,16432,+,,,,,,,SL1344_RS00075,345,,old_locus_tag=SL1344_0015
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,16088,16432,+,WP_000026889.1,WP_000026889.1,,hypothetical protein,,,SL1344_RS00075,345,114,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,16493,17026,-,,,,,,,SL1344_RS00080,534,,old_locus_tag=SL1344_0016
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,16493,17026,-,WP_001068132.1,WP_001068132.1,,hypothetical protein,,,SL1344_RS00080,534,177,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,17043,17486,-,,,,,,,SL1344_RS00085,444,,old_locus_tag=SL1344_0017
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,17043,17486,-,WP_000860682.1,WP_000860682.1,,transcriptional regulator,,,SL1344_RS00085,444,147,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,17867,19966,+,,,,,,,SL1344_RS00090,2100,,old_locus_tag=SL1344_0018
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,17867,19966,+,WP_000235798.1,WP_000235798.1,,chitinase,,,SL1344_RS00090,2100,699,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,20058,23054,+,,,,,,,SL1344_RS00095,2997,,old_locus_tag=SL1344_0019
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,20058,23054,+,WP_000155792.1,WP_000155792.1,,chitinase,,,SL1344_RS00095,2997,998,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,23335,24039,+,,,,,,,SL1344_RS00100,705,,old_locus_tag=SL1344_0020
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,23335,24039,+,WP_000738617.1,WP_000738617.1,,hypothetical protein,,,SL1344_RS00100,705,234,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,24469,25011,+,,,,,,,SL1344_RS00105,543,,old_locus_tag=SL1344_0021
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,24469,25011,+,WP_000743357.1,WP_000743357.1,,fimbrial protein BcfA,,,SL1344_RS00105,543,180,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,25112,25798,+,,,,,,,SL1344_RS00110,687,,old_locus_tag=SL1344_0022
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,25112,25798,+,WP_000742554.1,WP_000742554.1,,fimbrial chaperone protein BcfB,,,SL1344_RS00110,687,228,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,25803,28424,+,,,,,,,SL1344_RS00115,2622,,old_locus_tag=SL1344_0023
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,25803,28424,+,WP_001245854.1,WP_001245854.1,,fimbrial biogenesis outer membrane usher protein,,,SL1344_RS00115,2622,873,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,28425,29432,+,,,,,,,SL1344_RS00120,1008,,old_locus_tag=SL1344_0024
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,28425,29432,+,WP_000701247.1,WP_000701247.1,,fimbrial adhesin FimH,,,SL1344_RS00120,1008,335,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,29433,29978,+,,,,,,,SL1344_RS00125,546,,old_locus_tag=SL1344_0025
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,29433,29978,+,WP_001082039.1,WP_001082039.1,,fimbrial protein BcfE,,,SL1344_RS00125,546,181,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,29994,30512,+,,,,,,,SL1344_RS00130,519,,old_locus_tag=SL1344_0026
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,29994,30512,+,WP_001243232.1,WP_001243232.1,,fimbrial protein BcfF,,,SL1344_RS00130,519,172,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,30478,31209,+,,,,,,,SL1344_RS00135,732,,old_locus_tag=SL1344_0027
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,30478,31209,+,WP_001135039.1,WP_001135039.1,,fimbrial chaperone,,,SL1344_RS00135,732,243,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,31274,32119,+,,,,,,,SL1344_RS00140,846,,old_locus_tag=SL1344_0028
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,31274,32119,+,WP_000291392.1,WP_000291392.1,,DsbA family protein,,,SL1344_RS00140,846,281,
gene,protein_coding,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,32158,32445,+,,,,,,,SL1344_RS00145,288,,old_locus_tag=SL1344_0029
CDS,with_protein,GCF_000210855.2,Primary Assembly,chromosome,,NC_016810.1,32158,32445,+,WP_000839833.1,WP_000839833.1,,hypothetical protein,,,SL1344_RS00145,288,95,
